id,path,folder_hint,jitter_local,shimmer_local,hnr_db,cpps_db,f0_mean_hz,f0_std_hz,f0_min_hz,f0_max_hz,f0_voiced_ratio,alpha_ratio_db,spectral_flux_mean,spectral_flux_std,spectral_slope_db_per_hz,spectral_centroid_mean_hz,spectral_centroid_std_hz,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std
Mhoarsed3,dataset\ไฟล์เสียง\hoarsed\Mhoarsed3.mp3,hoarsed,0.01853923978035976,0.10555538328354713,10.468738329804626,12.154557853517357,129.27219829432408,54.838228430064056,65.40639132514966,318.3992322368831,0.5559055118110237,11.860516430952249,0.05773654952645302,0.03087009075734404,-0.002721597043822014,2062.8383289190324,751.3838284430927,-438.07037353515625,163.73597717285156,-20.867944717407227,26.674962997436523,-1.2783726453781128,2.6753084659576416,-7.589056968688965,-13.362445831298828,-15.699952125549316,0.8293912410736084,-4.156801223754883,7.3496809005737305,21.833330154418945,101.86273193359375,42.980770111083984,29.095365524291992,12.815235137939453,20.71878433227539,11.908712387084961,9.769356727600098,12.964057922363281,11.283608436584473,6.498730659484863,7.302196979522705,4.9777631759643555,7.2754669189453125
realHoarsed1,dataset\ไฟล์เสียง\hoarsed\realHoarsed1.mp3,hoarsed,0.006400949028298109,0.03210449817837384,19.72917540675136,9.342069051989313,217.83379326466138,32.43227900285336,107.48759652776705,238.52991146631203,0.8567208271787297,12.025126991174817,0.023062093183398247,0.014191034695363248,-0.002171070255582813,2030.398020138116,841.7230714207315,-489.08392333984375,163.10433959960938,-17.999937057495117,23.53083038330078,-37.89170455932617,5.256775856018066,-6.953641414642334,30.919658660888672,-9.796873092651367,-17.06859016418457,0.47051748633384705,-4.242286205291748,7.006229877471924,62.52466583251953,24.486539840698242,14.579826354980469,7.294215202331543,18.710966110229492,8.55536937713623,6.947913646697998,7.65226936340332,6.2733988761901855,7.99241828918457,6.3158721923828125,6.692881107330322,5.363389015197754
realHoarsed2,dataset\ไฟล์เสียง\hoarsed\realHoarsed2.mp3,hoarsed,0.006884468147512336,0.038955956615945614,18.067205224919892,7.451192045583091,236.9405904115924,2.2907877816670754,230.40470702053787,245.51937137864914,0.8699690402476781,12.870721963194768,0.027468381449580193,0.021140875441281702,-0.002111021488692785,2334.5861315864126,711.5542250110421,-483.29400634765625,137.1206817626953,-14.165565490722656,14.112218856811523,-31.308956146240234,7.965170860290527,-2.1432042121887207,26.359100341796875,1.9039846658706665,-11.679473876953125,-7.585942268371582,2.1133217811584473,-0.5704931616783142,82.42517852783203,27.889339447021484,17.967601776123047,10.35861873626709,21.223554611206055,6.273869514465332,7.720634460449219,7.238170146942139,7.152191162109375,7.938114166259766,7.310056209564209,4.68778133392334,5.421172142028809
Fnormal1,dataset\ไฟล์เสียง\normal\Fnormal1.mp3,normal,0.004236024896620441,0.019333852450591556,24.9283780282999,14.217738161234013,213.63242787612683,2.6914892549514646,202.90956258890662,233.08188075904494,0.9308510638297872,11.077741058305293,0.020754339173436165,0.02417868017302246,-0.0020665699880880236,1823.238026110329,247.93286116951134,-352.2203674316406,149.75482177734375,-44.452491760253906,27.905534744262695,2.0709784030914307,12.743592262268066,0.756589949131012,4.656400680541992,-2.305021047592163,-20.184478759765625,8.98676872253418,25.430152893066406,-19.784433364868164,63.33106231689453,17.406539916992188,22.04420280456543,5.791230201721191,14.513102531433105,5.544375896453857,6.640786647796631,8.807223320007324,7.330665111541748,9.015274047851562,4.622694969177246,9.926012992858887,9.52546215057373
Fnormal2,dataset\ไฟล์เสียง\normal\Fnormal2.mp3,normal,0.005033272275243131,0.021593415849907566,20.246803754814977,13.17148682018055,207.987171291905,2.710610510608963,204.08500572708806,225.1422562392905,0.8428745432399513,9.996748472698627,0.03006378561258316,0.029693071626717558,-0.002261986907647209,2243.5555149824854,432.12970649852656,-361.1061096191406,150.5081787109375,-51.77199172973633,25.907798767089844,-1.1757817268371582,20.130456924438477,-15.886195182800293,9.804008483886719,-0.11364957690238953,-23.64030647277832,20.0035343170166,17.634906768798828,-15.78807544708252,104.37516784667969,28.452022552490234,34.27207565307617,6.938133239746094,13.437492370605469,6.775902271270752,11.966064453125,5.412763595581055,5.687408447265625,12.978795051574707,7.04893684387207,8.458606719970703,12.003925323486328
Fnormal3,dataset\ไฟล์เสียง\normal\Fnormal3.mp3,normal,0.0025040435075182397,0.02992621276002027,23.708811348132567,12.519985186199968,214.10288307859608,37.916365321868234,65.40639132514966,316.5653876023804,0.8059701492537313,8.35316454374475,0.03342975303530693,0.03746682658245925,-0.002136168682748994,2047.854826996471,509.03498171386167,-438.08270263671875,148.21018981933594,-34.53450012207031,7.066158294677734,17.508066177368164,13.35988998413086,-14.735668182373047,27.64883041381836,-3.0025553703308105,-6.293452739715576,14.115278244018555,1.2024829387664795,-5.223230361938477,101.33733367919922,32.863609313964844,35.22854232788086,13.660966873168945,8.314067840576172,5.850324630737305,15.809332847595215,10.160265922546387,8.528188705444336,7.19651460647583,7.545414447784424,6.03456449508667,7.963965892791748
logitechNormal,dataset\ไฟล์เสียง\normal\logitechNormal.mp3,normal,0.004337448855557034,0.046787319575671435,17.413496120057143,10.626151226523332,253.4467636223486,3.929113684957904,219.99999999999997,273.99891691894106,0.8990825688073395,2.291979829069321,0.023331766948103905,0.01066856282479243,-0.002276065184655705,1584.211021794004,1211.079178059079,-478.38818359375,200.45176696777344,-71.5269546508789,-23.334623336791992,2.921551465988159,-44.17855453491211,-1.1746143102645874,11.139479637145996,-23.09803581237793,-11.122960090637207,-4.352296829223633,-5.289932727813721,0.9708639979362488,84.421875,51.51703643798828,23.72256851196289,10.600801467895508,6.788218975067139,16.34271812438965,5.513721466064453,7.159539699554443,9.425622940063477,5.606268405914307,5.954319953918457,4.401736736297607,3.4758009910583496
logitechStrain,dataset\ไฟล์เสียง\normal\logitechStrain.mp3,normal,0.008219165740091988,0.1422539219708569,10.507676075295919,9.22881027013905,219.26138457741305,13.10336580792334,186.06888929891866,285.30470202322215,0.9699646643109541,-6.332226353263261,0.03888627141714096,0.011777616192982005,-0.0026282592560879304,1484.3037188857882,159.23718412725964,-341.496337890625,176.7281951904297,-61.28558349609375,-54.24382400512695,-18.556161880493164,-28.293846130371094,10.024920463562012,23.28192901611328,-10.451106071472168,-20.557096481323242,-13.75196361541748,-6.086538791656494,-8.177258491516113,35.70561599731445,14.269182205200195,21.293575286865234,5.896726608276367,5.811807632446289,7.1232590675354,6.637643337249756,5.0255560874938965,6.547245979309082,6.156914710998535,5.001539707183838,4.4399213790893555,3.908003330230713
maonoNormal,dataset\ไฟล์เสียง\normal\maonoNormal.mp3,normal,0.0034253046040755948,0.03171892274196187,20.40285452672541,10.011574286533623,250.7877153791302,2.1249369053748164,246.94165062806206,264.6655079380657,0.854419410745234,10.294348061259956,0.02449432574212551,0.027562564720494617,-0.0021042013255312283,2453.594736144945,390.5671601006028,-401.50537109375,140.42926025390625,-26.619504928588867,20.758384704589844,-23.298601150512695,12.604808807373047,-22.30909538269043,36.074649810791016,-18.500337600708008,-18.55289649963379,8.085211753845215,0.6280595660209656,2.977891206741333,71.98783874511719,16.66335105895996,13.929404258728027,6.958146572113037,17.296646118164062,7.306145191192627,12.248444557189941,9.333022117614746,11.272015571594238,9.857486724853516,4.625601768493652,6.533866882324219,5.986458778381348
maonoStrain,dataset\ไฟล์เสียง\normal\maonoStrain.mp3,normal,0.008706118705399878,0.11978891713124806,12.713742067748925,8.594077068204854,224.78148881776346,11.134739324042757,210.06515286029162,273.99891691894106,0.8100890207715133,0.7079810937612883,0.03244321420788765,0.016766801439767737,-0.0027277522167229408,3002.3739359562496,479.8308625072622,-411.70733642578125,134.6923828125,-26.166271209716797,14.921634674072266,-56.182838439941406,11.960124969482422,-12.657652854919434,37.270477294921875,-2.281374216079712,-20.178800582885742,-1.952541470527649,6.125922203063965,-9.382111549377441,104.9903793334961,19.94719123840332,18.04698944091797,7.321359157562256,35.81463623046875,5.634774208068848,11.737310409545898,11.170260429382324,7.31895112991333,10.616143226623535,6.786749839782715,5.341394424438477,9.456852912902832
Mnormal1,dataset\ไฟล์เสียง\normal\Mnormal1.mp3,normal,0.005938449565908668,0.05144760028690467,19.697282958990787,13.556459873917198,114.66471443240636,12.875760343946801,65.40639132514966,130.0593564629863,0.8792517006802721,15.823164961256559,0.03322092816233635,0.031237183396693288,-0.0019117034243675622,1702.4957975673879,991.4707711033379,-498.3345031738281,178.21987915039062,-9.868231773376465,15.877100944519043,7.295801162719727,27.226337432861328,-5.968733787536621,22.544857025146484,0.6545490026473999,10.877532005310059,21.057851791381836,2.1188714504241943,3.6995625495910645,83.43327331542969,47.14116287231445,18.689912796020508,13.974185943603516,6.85727071762085,3.9284005165100098,6.09443473815918,5.46422004699707,4.520051956176758,4.395823001861572,7.435667514801025,4.941874027252197,4.5149922370910645
